model,score_version,bin,n,treated_n,control_n,score_min,score_max,predicted_uplift,treated_outcome_rate,control_outcome_rate,observed_uplift,observed_standard_error,ci_lower,ci_upper,calibration_error
undersampled_t_lr_k1,raw,1,40000,34604,5396,0.0009870797509114893,0.18499286213688326,0.006475822697352306,0.024505837475436366,0.017234988880652335,0.007270848594784031,0.00195698908420999,0.003435220471594429,0.011106476717973632,0.0007950258974317248
undersampled_t_lr_k1,raw,2,40000,34117,5883,0.0004187499880981264,0.0009870330203231989,0.0006291761212289427,0.002374182958642319,0.0016998130205677375,0.0006743699380745815,0.0005982219617490663,-0.000498123561714486,0.001846863437863649,4.5193816845638776e-05
undersampled_t_lr_k1,raw,3,40000,33939,6061,0.0002702022761879741,0.00041874985798295134,0.0003317022380443271,0.0010017973422905802,0.00032997855139415937,0.0006718187908964209,0.0002896773589538042,0.0001040616002102834,0.0012395759815825584,0.00034011655285209376
undersampled_t_lr_k1,raw,4,40000,33852,6148,0.00021194763556199754,0.00027020140432905393,0.00023749607450515881,0.0001772421127259837,0.00048796356538711777,-0.0003107214526611341,0.0002908016805048923,-0.0008806822730944464,0.00025923936777217825,-0.0005482175271662929
undersampled_t_lr_k1,raw,5,40000,33904,6096,0.00017940579877625932,0.00021194753350754813,0.00019484132150621386,0.00020646531382727701,0.00016404199475065617,4.242331907662085e-05,0.00018164197775717006,-0.00031358841540805795,0.00039843505356129964,-0.00015241800242959302
undersampled_t_lr_k1,raw,6,40000,33836,6164,0.00015687002185451227,0.00017940563736903645,0.0001676862091959913,0.0001477716042085353,0.0,0.0001477716042085353,6.608058747250824e-05,1.825603268517051e-05,0.0002772871757319001,-1.9914604987455992e-05
undersampled_t_lr_k1,raw,7,40000,33775,6225,0.00013857017447916638,0.00015686936012328549,0.00014758569163128265,5.921539600296077e-05,0.0,5.921539600296077e-05,4.187036832406074e-05,-2.2849017931624966e-05,0.00014127980993754652,-8.837029562832187e-05
undersampled_t_lr_k1,raw,8,40000,33917,6083,0.00012159398421562764,0.0001385698049280482,0.00013003207497191862,5.896747943509155e-05,0.0,5.896747943509155e-05,4.169507519691652e-05,-2.2753366283554103e-05,0.0001406883251537372,-7.106459553682707e-05
undersampled_t_lr_k1,raw,9,40000,34118,5882,0.00010787284128938772,0.00012159321836708025,0.00011515691092734275,0.0001172401664810364,0.00017001020061203673,-5.2770034131000324e-05,0.0001798178681688225,-0.00040520657951866377,0.0002996665112566631,-0.00016792694505834307
undersampled_t_lr_k1,raw,10,40000,33911,6089,-0.061297080440002094,0.00010787230310586334,2.942610154835954e-05,0.00168087051399251,0.0016423057973394646,3.856471665304533e-05,0.0005645862884007587,-0.0010680040747775856,0.0011451335080836763,9.13861510468579e-06
undersampled_t_lr_k1,calibrated,1,40000,34604,5396,0.0012108422611625295,0.04592515317879829,0.009180103292535513,0.024505837475436366,0.017234988880652335,0.007270848594784031,0.00195698908420999,0.003435220471594429,0.011106476717973632,-0.0019092546977514824
undersampled_t_lr_k1,calibrated,2,40000,34117,5883,0.0005676447287193388,0.0012108422611625295,0.0008291726912079996,0.002374182958642319,0.0016998130205677375,0.0006743699380745815,0.0005982219617490663,-0.000498123561714486,0.001846863437863649,-0.00015480275313341804
undersampled_t_lr_k1,calibrated,3,40000,33939,6061,0.000531697748594914,0.0005676447287193388,0.0005667755319040507,0.0010017973422905802,0.00032997855139415937,0.0006718187908964209,0.0002896773589538042,0.0001040616002102834,0.0012395759815825584,0.00010504325899237017
undersampled_t_lr_k1,calibrated,4,40000,33852,6148,9.679796032830484e-05,0.0005316896630113213,0.0003520694488108687,0.0001772421127259837,0.00048796356538711777,-0.0003107214526611341,0.0002908016805048923,-0.0008806822730944464,0.00025923936777217825,-0.0006627909014720029
undersampled_t_lr_k1,calibrated,5,40000,33904,6096,-4.555240701745379e-05,9.679095475718192e-05,-4.1456859867676855e-05,0.00020646531382727701,0.00016404199475065617,4.242331907662085e-05,0.00018164197775717006,-0.00031358841540805795,0.00039843505356129964,8.388017894429771e-05
undersampled_t_lr_k1,calibrated,6,40000,33836,6164,-4.555240701745379e-05,-4.555240701745379e-05,-4.555240701745379e-05,0.0001477716042085353,0.0,0.0001477716042085353,6.608058747250824e-05,1.825603268517051e-05,0.0002772871757319001,0.00019332401122598909
undersampled_t_lr_k1,calibrated,7,40000,33775,6225,-4.555240701745379e-05,-4.555240701745379e-05,-4.555240701745379e-05,5.921539600296077e-05,0.0,5.921539600296077e-05,4.187036832406074e-05,-2.2849017931624966e-05,0.00014127980993754652,0.00010476780302041456
undersampled_t_lr_k1,calibrated,8,40000,33917,6083,-4.555240701745379e-05,-4.555240701745379e-05,-4.555240701745379e-05,5.896747943509155e-05,0.0,5.896747943509155e-05,4.169507519691652e-05,-2.2753366283554103e-05,0.0001406883251537372,0.00010451988645254534
undersampled_t_lr_k1,calibrated,9,40000,34118,5882,-4.555240701745379e-05,-4.555240701745379e-05,-4.555240701745379e-05,0.0001172401664810364,0.00017001020061203673,-5.2770034131000324e-05,0.0001798178681688225,-0.00040520657951866377,0.0002996665112566631,-7.2176271135465325e-06
undersampled_t_lr_k1,calibrated,10,40000,33911,6089,-0.0062654194112976265,-4.555240701745379e-05,-0.00038239707499475284,0.00168087051399251,0.0016423057973394646,3.856471665304533e-05,0.0005645862884007587,-0.0010680040747775856,0.0011451335080836763,0.0004209617916477982
undersampled_t_lr_k5,raw,1,40000,34520,5480,0.0009816896208042199,0.48821049934776606,0.008123874412354178,0.02540556199304751,0.01897810218978102,0.006427459803266488,0.002028472822784418,0.00245172612699073,0.010403193479542246,-0.0016964146090876903
undersampled_t_lr_k5,raw,2,40000,34163,5837,0.0004040147838537705,0.0009816324469782002,0.000609853991774977,0.0024295290226268185,0.0011992461881103306,0.0012302828345164879,0.0005255021840422043,0.00020031747999662858,0.002260248189036347,0.0006204288427415109
undersampled_t_lr_k5,raw,3,40000,33915,6085,0.0002563726402958618,0.00040400943167559164,0.00031804001336157466,0.0008845643520566122,0.000657354149548069,0.00022721020250854318,0.0003660824203442672,-0.0004902981567394735,0.0009447185617565599,-9.082981085303148e-05
undersampled_t_lr_k5,raw,4,40000,33867,6133,0.00019996713791287546,0.00025636856185646157,0.00022372591498310692,0.00020669087902678123,0.00016305233980107615,4.363853922570508e-05,0.00018078574673908025,-0.00031069501330107166,0.0003979720917524818,-0.00018008737575740184
undersampled_t_lr_k5,raw,5,40000,33928,6072,0.00017375614683536663,0.00019996710191123808,0.00018561731703221784,0.00014737090308889413,0.00016469038208168644,-1.7319478992792304e-05,0.00017737376230894254,-0.0003649656649206877,0.00033032670693510316,-0.00020293679602501015
undersampled_t_lr_k5,raw,6,40000,33876,6124,0.00015745019634240436,0.0001737554242559869,0.00016502162183703567,0.0001180776951233912,0.0,0.0001180776951233912,5.9035361873275635e-05,2.3705120374819193e-06,0.00023378487820930048,-4.6943926713644476e-05
undersampled_t_lr_k5,raw,7,40000,33991,6009,0.00014664424452212935,0.0001574501520089856,0.0001519042045979887,0.00011767820893765997,0.00016641704110500916,-4.873883216734918e-05,0.00017649831591125186,-0.00039466917468537554,0.00029719151035067717,-0.0002006430367653379
undersampled_t_lr_k5,raw,8,40000,34011,5989,0.00013493825910847619,0.00014664417645208824,0.00014091137592922668,5.880450442503896e-05,0.0,5.880450442503896e-05,4.157984124835922e-05,-2.2690486904638056e-05,0.00014029949575471596,-8.210687150418772e-05
undersampled_t_lr_k5,raw,9,40000,33973,6027,0.00012179339421477912,0.00013493824867296213,0.00012859368473430534,0.00011774055867895093,0.0,0.00011774055867895093,5.88668135276663e-05,2.3637242800897515e-06,0.0002331173930778121,-1.0853126055354413e-05
undersampled_t_lr_k5,raw,10,40000,33729,6271,-0.13488532125184527,0.00012179338212603934,1.3256789888580533e-05,0.0008894423196655697,0.0003189284005740711,0.0005705139190914986,0.0002778277204312886,2.5981593139310136e-05,0.001115046245043687,0.000557257129202918
undersampled_t_lr_k5,calibrated,1,40000,34520,5480,0.0014218024255739843,0.03926928842669486,0.008117911549696847,0.02540556199304751,0.01897810218978102,0.006427459803266488,0.002028472822784418,0.00245172612699073,0.010403193479542246,-0.0016904517464303593
undersampled_t_lr_k5,calibrated,2,40000,34163,5837,0.0007542256038478503,0.0014212381097057573,0.0007719037814363311,0.0024295290226268185,0.0011992461881103306,0.0012302828345164879,0.0005255021840422043,0.00020031747999662858,0.002260248189036347,0.0004583790530801568
undersampled_t_lr_k5,calibrated,3,40000,33915,6085,0.0006047677749239591,0.0007542256038478503,0.0006946389234227545,0.0008845643520566122,0.000657354149548069,0.00022721020250854318,0.0003660824203442672,-0.0004902981567394735,0.0009447185617565599,-0.00046742872091421134
undersampled_t_lr_k5,calibrated,4,40000,33867,6133,1.30920943918322e-05,0.0006047677749239591,0.0001283855590149162,0.00020669087902678123,0.00016305233980107615,4.363853922570508e-05,0.00018078574673908025,-0.00031069501330107166,0.0003979720917524818,-8.474701978921113e-05
undersampled_t_lr_k5,calibrated,5,40000,33928,6072,1.30920943918322e-05,1.30920943918322e-05,1.3092094391832201e-05,0.00014737090308889413,0.00016469038208168644,-1.7319478992792304e-05,0.00017737376230894254,-0.0003649656649206877,0.00033032670693510316,-3.0411573384624507e-05
undersampled_t_lr_k5,calibrated,6,40000,33876,6124,1.30920943918322e-05,1.30920943918322e-05,1.3092094391832201e-05,0.0001180776951233912,0.0,0.0001180776951233912,5.9035361873275635e-05,2.3705120374819193e-06,0.00023378487820930048,0.00010498560073155899
undersampled_t_lr_k5,calibrated,7,40000,33991,6009,1.30920943918322e-05,1.30920943918322e-05,1.3092094391832201e-05,0.00011767820893765997,0.00016641704110500916,-4.873883216734918e-05,0.00017649831591125186,-0.00039466917468537554,0.00029719151035067717,-6.183092655918139e-05
undersampled_t_lr_k5,calibrated,8,40000,34011,5989,1.30920943918322e-05,1.30920943918322e-05,1.3092094391832201e-05,5.880450442503896e-05,0.0,5.880450442503896e-05,4.157984124835922e-05,-2.2690486904638056e-05,0.00014029949575471596,4.5712410033206755e-05
undersampled_t_lr_k5,calibrated,9,40000,33973,6027,1.30920943918322e-05,1.30920943918322e-05,1.3092094391832201e-05,0.00011774055867895093,0.0,0.00011774055867895093,5.88668135276663e-05,2.3637242800897515e-06,0.0002331173930778121,0.00010464846428711873
undersampled_t_lr_k5,calibrated,10,40000,33729,6271,1.30920943918322e-05,1.30920943918322e-05,1.3092094391832201e-05,0.0008894423196655697,0.0003189284005740711,0.0005705139190914986,0.0002778277204312886,2.5981593139310136e-05,0.001115046245043687,0.0005574218246996664
