policy,reference_policy,budget_pct,n_targeted,difference_rate,standard_error_rate,difference,ci_lower,ci_upper
random_targeting,response_model,5.0,10000,-0.0009757047151567008,0.0002676571852399823,-195.14094303134016,-300.0606316860863,-90.22125437659398
undersampled_t_lr_k5,response_model,5.0,10000,1.043557272463409e-06,0.00013196569817519054,0.2087114544926818,-51.520891669118626,51.93831457810399
random_targeting,response_model,10.0,20000,-0.0011528803620499857,0.0002682261426714612,-230.57607240999715,-335.7187882796303,-125.43335654036393
undersampled_t_lr_k5,response_model,10.0,20000,-1.034401144468902e-05,0.000126682668886553,-2.068802288937804,-51.72749598554914,47.58989140767353
random_targeting,response_model,20.0,40000,-0.0011277630368337409,0.00026240932485938615,-225.55260736674816,-328.41517255312175,-122.69004218037462
undersampled_t_lr_k5,response_model,20.0,40000,2.600988795809019e-05,0.00010492833715969645,5.2019775916180375,-35.92917476651813,46.3331299497542
random_targeting,response_model,30.0,60000,-0.0012187844571993193,0.0002461553718442136,-243.75689143986386,-340.2480241230085,-147.2657587567192
undersampled_t_lr_k5,response_model,30.0,60000,6.809695162859342e-07,9.256997058568999e-05,0.13619390325718683,-36.15056777631971,36.422955582834085
