policy,budget_pct,n_targeted,incremental_outcome_rate,standard_error_rate,ci_lower_rate,ci_upper_rate,incremental_outcome,ci_lower,ci_upper
undersampled_t_lr_k5,30.0,480000,0.0009272339451496947,0.00010030532996080687,0.0007306391109691069,0.0011238287793302825,1483.5743122395115,1169.022577550571,1798.126046928452
undersampled_cvt_lr_k5,5.0,80000,0.00040592258322720397,7.15165153121698e-05,0.00026575278891554385,0.0005460923775388641,649.4761331635264,425.2044622648702,873.7478040621826
undersampled_cvt_lr_k5,10.0,160000,0.00041986963853441714,7.558220086522556e-05,0.000271731246966303,0.0005680080301025313,671.7914216550674,434.76999514608474,908.8128481640501
undersampled_cvt_lr_k5,20.0,320000,0.0004507895010972804,7.739999124362399e-05,0.0002990883058560619,0.0006024906963384989,721.2632017556487,478.5412893696991,963.9851141415983
undersampled_cvt_lr_k5,30.0,480000,0.0004741386530016801,7.89014419298846e-05,0.0003194946684908278,0.0006287826375125324,758.6218448026882,511.1914695853245,1006.0522200200518
undersampled_t_lr_k10,5.0,80000,0.0007784045722075678,8.760153647273539e-05,0.0006067087157306346,0.000950100428684501,1245.4473155321084,970.7339451690153,1520.1606858952016
undersampled_t_lr_k10,10.0,160000,0.0008483730531289714,9.28447665313314e-05,0.0006664006545745321,0.0010303454516834107,1357.3968850063543,1066.2410473192513,1648.552722693457
undersampled_t_lr_k10,20.0,320000,0.0008916122588780752,9.707189359752064e-05,0.0007013548435158305,0.0010818696742403199,1426.5796142049203,1122.1677496253287,1730.9914787845119
undersampled_t_lr_k10,30.0,480000,0.0009086159224975609,9.838609159633442e-05,0.0007157827263890866,0.0011014491186060352,1453.7854759960974,1145.2523622225385,1762.3185897696562
undersampled_cvt_lr_k10,5.0,80000,0.00037592942852697063,7.430645374026668e-05,0.0002302914553771564,0.0005215674016767848,601.487085643153,368.4663286034502,834.5078426828558
undersampled_cvt_lr_k10,10.0,160000,0.00042169280548874595,7.74887045320527e-05,0.00026981773539725703,0.0005735678755802349,674.7084887819935,431.7083766356113,917.7086009283759
undersampled_cvt_lr_k10,20.0,320000,0.0004597913966089898,7.985980221086361e-05,0.00030326906046320497,0.0006163137327547747,735.6662345743837,485.230496741128,986.1019724076394
undersampled_cvt_lr_k10,30.0,480000,0.0005247940064982585,8.110704894967248e-05,0.0003658271116645733,0.0006837609013319437,839.6704103972136,585.3233786633173,1094.0174421311099
undersampled_t_lr_k25,5.0,80000,0.0006553608411651862,7.53995247560176e-05,0.0005075804881919556,0.0008031411941384169,1048.577345864298,812.1287811071289,1285.025910621467
undersampled_t_lr_k25,10.0,160000,0.0007486130907048147,8.198669471459321e-05,0.0005879221218527316,0.0009093040595568978,1197.7809451277035,940.6753949643706,1454.8864952910365
undersampled_t_lr_k25,20.0,320000,0.0007972566356215702,8.69594522684745e-05,0.0006268192410600304,0.0009676940301831101,1275.6106169945124,1002.9107856960486,1548.3104482929762
undersampled_t_lr_k25,30.0,480000,0.0008133799035262743,8.860917120452246e-05,0.0006397091192654667,0.000987050687787082,1301.4078456420389,1023.5345908247467,1579.2811004593311
undersampled_cvt_lr_k25,5.0,80000,0.00046576356555622496,7.804519018110406e-05,0.000312797803634682,0.0006187293274777679,745.2217048899599,500.4764858154912,989.9669239644287
undersampled_cvt_lr_k25,10.0,160000,0.0005847416044694368,8.407371700811443e-05,0.00041996014708712,0.0007495230618517536,935.5865671510988,671.9362353393919,1199.2368989628058
undersampled_cvt_lr_k25,20.0,320000,0.0006239368596932363,8.777895020833775e-05,0.0004518932786841596,0.0007959804407023129,998.298975509178,723.0292458946553,1273.5687051237007
