seed,champion,difference_vs_response,ci_lower,ci_upper,champion_incremental_outcome,response_incremental_outcome,champion_auuc,response_auuc,fit_seconds
42,s_learner,171.81801134921574,9.287821545446851,334.34820115298464,499.147929539922,327.3299181907062,0.009656121396874606,0.008809658280870662,143.25441400001
123,s_learner,111.29475544122195,-47.157707410513254,269.74721829295714,455.29068771601646,343.9959322747944,0.008761854266441771,0.008685650068516546,144.9019774999906
2026,s_learner,-8.24150004144065,-183.457789424801,166.9747893419197,450.8717413640076,459.11324140544826,0.008648064392575662,0.00899489803108317,141.69015860000218
730,transformed_outcome,85.28477551501682,-73.01297886956931,243.58252989960292,423.2329213787235,337.9481458637067,0.008975286582242342,0.008945764271126607,87.8039587999956
991,x_learner,149.12473625453603,-7.870575432010908,306.120047941083,346.57267912169493,197.44794286715896,0.008036086053542463,0.008481400582250245,124.49104439998337
1201,dr_learner,54.07215046436188,-99.91169218485781,208.05599311358162,378.5817289682271,324.5095785038652,0.008158055000008933,0.008342054370802049,190.95919919999142
1601,s_learner,36.07596691694659,-132.59352852333276,204.74546235722596,336.39635395386955,300.32038703692297,0.00882752468799685,0.008292944788208429,138.29102710002917
2401,s_learner,-10.81645313430447,-179.7987527129307,158.16584644432177,434.843105555816,445.65955869012043,0.007651695688191944,0.008396446794664388,117.2117123999924
3301,transformed_outcome,58.117859862629935,-97.53992378546522,213.77564351072508,399.7317445683937,341.6138847057638,0.009268921566824247,0.008689797224193049,70.25935270001355
4401,s_learner,45.62421239541063,-122.38685652005908,213.63528131088037,460.02163925100547,414.3974268555948,0.00888887312209955,0.008840804089127343,71.59982320002746
