policy,reference_policy,budget_pct,n_targeted,difference_rate,standard_error_rate,difference,ci_lower,ci_upper
random_targeting,response_model,5.0,200000,-0.0026836805760643884,0.00014685407148547168,-10734.722304257553,-11886.037068635933,-9583.407539879176
s_learner,response_model,5.0,200000,0.0014651708971106009,0.00012885287742625662,5860.683588442404,4850.495592203135,6870.871584681672
random_targeting,response_model,10.0,400000,-0.004225095176038088,0.00018362302514210652,-16900.38070415235,-18339.958768195636,-15460.802640109065
s_learner,response_model,10.0,400000,0.0007376127966426886,0.0001115990059963413,2950.451186570754,2075.5310567175607,3825.371316423948
random_targeting,response_model,20.0,800000,-0.005260919007518785,0.00019446919724421457,-21043.67603007514,-22568.286520879446,-19519.065539270836
s_learner,response_model,20.0,800000,-0.00010536969260086514,7.622580086593955e-05,-421.47877040346054,-1019.0780679633148,176.12052715639356
random_targeting,response_model,30.0,1200000,-0.004810696794767638,0.000187514075710248,-19242.78717907055,-20712.87051901616,-17772.70383912494
s_learner,response_model,30.0,1200000,-0.00010787809147911511,6.0800813043781843e-05,-431.51236591646045,-908.1819811027226,45.157249269801675
