policy,reference_policy,budget_pct,n_targeted,difference_rate,standard_error_rate,difference,ci_lower,ci_upper
random_targeting,response_model,5.0,20000,-0.0006541208955786388,0.00017587953958291756,-261.6483582314555,-399.53538351145755,-123.76133295145347
undersampled_t_lr_k5,response_model,5.0,20000,-0.00022268089627951895,7.542272746255016e-05,-89.07235851180758,-148.2026902887589,-29.942026734856245
random_targeting,response_model,10.0,40000,-0.0006780418530681933,0.00018174952580336231,-271.21674122727734,-413.70575114000667,-128.727731314548
undersampled_t_lr_k5,response_model,10.0,40000,-0.00016148242972411584,8.12567751721298e-05,-64.59297188964634,-128.29711302454345,-0.8888307547492112
random_targeting,response_model,20.0,80000,-0.0007478371235380958,0.00017568283443106418,-299.1348494152383,-436.8676606899579,-161.40203814051867
undersampled_t_lr_k5,response_model,20.0,80000,-0.00013716690801970525,7.392594323365295e-05,-54.8667632078821,-112.823637712327,3.0901112965628017
random_targeting,response_model,30.0,120000,-0.0005459694154948966,0.00017052296717090434,-218.38776619795865,-352.07531587471004,-84.7002165212073
undersampled_t_lr_k5,response_model,30.0,120000,-0.00016969494621305237,7.20958156375428e-05,-67.87797848522095,-124.40005931947033,-11.355897650971558
