policy,pehe,cate_mae,cate_bias,pearson,spearman
oracle,0.0,0.0,0.0,1.0,1.0
transformed_outcome,0.003393665735515543,0.002425726881702023,-0.0007069410466649438,0.8801378864637434,0.8887894872293286
s_learner,0.009204762284742903,0.005133738138015347,-0.0015776319410503341,0.49351387831513427,0.6413595404968143
x_learner,0.014340278908693284,0.0076028359723140735,-0.0006869397262707101,0.3823082880997438,0.5581938794631012
dr_learner,0.02037254306187117,0.00921233992672275,-0.0007213621138456399,0.27849879289213897,0.5064087827935965
r_learner,0.020504636892542755,0.009011964168656949,-0.0008095989881059896,0.2702007757687413,0.519838508334295
t_learner,0.02198807668656583,0.010919409346791935,-0.0007035141013648669,0.27985844575104035,0.4452937523122631
cvt,0.046063037568154906,0.019597391480855507,-0.0007106788711712641,0.1108536539464519,0.2931905245521083
response_model,0.052397937052821836,0.04839243644235621,0.047595496368663996,0.19833082005463662,0.3530002909600795
