policy,budget_pct,n_targeted,incremental_outcome_rate,standard_error_rate,ci_lower_rate,ci_upper_rate,incremental_outcome,ci_lower,ci_upper
undersampled_t_lr_k5,10.0,160000,0.0008604291705319753,9.589581614357563e-05,0.0006724768246224924,0.001048381516441458,1376.6866728511604,1075.962919395988,1677.410426306333
undersampled_t_lr_k5,20.0,320000,0.000887679828051742,0.00010019130819272335,0.0006913084724300514,0.0010840511836734325,1420.2877248827872,1106.0935558880822,1734.481893877492
undersampled_t_lr_k5,30.0,480000,0.0009205057347140439,0.00010167958029724194,0.0007212174193683013,0.0011197940500597865,1472.8091755424703,1153.9478709892821,1791.6704800956584
undersampled_cvt_lr_k5,5.0,80000,0.0002656975022244401,7.088569945475849e-05,0.00012676408427418295,0.0004046309201746973,425.1160035591042,202.82253483869272,647.4094722795156
undersampled_cvt_lr_k5,10.0,160000,0.00029336089851454694,7.181240144185001e-05,0.0001526111780451887,0.0004341106189839052,469.3774376232751,244.17788487230192,694.5769903742483
undersampled_cvt_lr_k5,20.0,320000,0.00034000952364667653,7.422100354049486e-05,0.0001945390298108868,0.00048548001748246626,544.0152378346825,311.2624476974189,776.768027971946
undersampled_cvt_lr_k5,30.0,480000,0.00035981687923403004,7.61734809441433e-05,0.00021051960000646107,0.0005091141584615991,575.707006774448,336.83136001033773,814.5826535385585
undersampled_t_lr_k10,5.0,80000,0.000609391112083235,8.5537206404238e-05,0.0004417412681927597,0.0007770409559737102,975.0257793331759,706.7860291084155,1243.2655295579364
undersampled_t_lr_k10,10.0,160000,0.0006978905881308287,9.1036156917279e-05,0.000519462999282025,0.0008763181769796324,1116.624941009326,831.14079885124,1402.1090831674119
undersampled_t_lr_k10,20.0,320000,0.0007775165577789551,9.518707450260384e-05,0.0005909533199601208,0.0009640797955977894,1244.0264924463281,945.5253119361932,1542.527672956463
undersampled_t_lr_k10,30.0,480000,0.0008119396987694823,9.669871657307056e-05,0.0006224136969350176,0.001001465700603947,1299.1035180311717,995.861915096028,1602.3451209663153
undersampled_cvt_lr_k10,5.0,80000,0.0003813371903498597,7.600351624065603e-05,0.00023237303581976886,0.0005303013448799506,610.1395045597756,371.79685731163016,848.482151807921
undersampled_cvt_lr_k10,10.0,160000,0.00042465305372956793,7.83916165149245e-05,0.00027100830867044065,0.0005782977987886952,679.4448859673087,433.61329387270507,925.2764780619124
undersampled_cvt_lr_k10,20.0,320000,0.000449240504128831,8.057598011910719e-05,0.00029131448507636556,0.0006071665231812965,718.7848066061297,466.1031761221849,971.4664370900744
undersampled_cvt_lr_k10,30.0,480000,0.0005238488880426723,8.340216820849322e-05,0.0003603836421214742,0.0006873141339638704,838.1582208682757,576.6138273943587,1099.7026143421926
undersampled_t_lr_k25,5.0,80000,0.000568279527185578,8.705924720403514e-05,0.00039764653814449975,0.0007389125162266561,909.2472434969247,636.2344610311997,1182.26002596265
undersampled_t_lr_k25,10.0,160000,0.0006830986233196298,9.164285719569225e-05,0.0005034819237757257,0.0008627153228635339,1092.9577973114076,805.5710780411611,1380.3445165816543
undersampled_t_lr_k25,20.0,320000,0.0007390861548185248,9.560854653463733e-05,0.0005516968469964138,0.0009264754626406357,1182.5378477096397,882.7149551942621,1482.3607402250173
undersampled_t_lr_k25,30.0,480000,0.000751992902826546,9.744345156524078e-05,0.000561007247229401,0.000942978558423691,1203.1886445224736,897.6115955670416,1508.7656934779056
undersampled_cvt_lr_k25,5.0,80000,0.000626114028663405,8.746866948678206e-05,0.00045467858669367457,0.0007975494706331354,1001.782445861448,727.4857387098793,1276.0791530130166
undersampled_cvt_lr_k25,10.0,160000,0.0007149041345319048,9.244691944925373e-05,0.000533711501929692,0.0008960967671341175,1143.8466152510475,853.9384030875073,1433.754827414588
undersampled_cvt_lr_k25,20.0,320000,0.0007884035304086924,9.581827660142205e-05,0.0006006031592092082,0.0009762039016081765,1261.4456486539077,960.9650547347331,1561.9262425730824
undersampled_cvt_lr_k25,30.0,480000,0.0008078789257406339,9.701332359466966e-05,0.0006177363054745516,0.0009980215460067164,1292.6062811850143,988.3780887592826,1596.8344736107463
undersampled_t_lr_k50,5.0,80000,0.0006934323169051862,9.129072348110426e-05,0.0005145057867596168,0.0008723588470507557,1109.491707048298,823.2092588153869,1395.774155281209
undersampled_t_lr_k50,10.0,160000,0.0008213203601940663,9.585594808599111e-05,0.0006334461542415826,0.00100919456614655,1314.112576310506,1013.5138467865321,1614.7113058344798
undersampled_t_lr_k50,20.0,320000,0.0008665883605722758,0.00010032339100315281,0.0006699581273991666,0.001063218593745385,1386.5413769156412,1071.9330038386665,1701.149749992616
undersampled_t_lr_k50,30.0,480000,0.0008786832594073535,0.00010214857398852689,0.0006784757333177158,0.0010788907854969911,1405.8932150517655,1085.5611733083454,1726.2252567951857
undersampled_cvt_lr_k50,5.0,80000,0.000547374961306809,7.843720558074483e-05,0.00039364086332058506,0.0007011090592930329,875.7999380908944,629.8253813129361,1121.7744948688528
undersampled_cvt_lr_k50,10.0,160000,0.0007325770040431158,9.26591203872036e-05,0.0005509684652450356,0.0009141855428411959,1172.1232064689852,881.549544392057,1462.6968685459135
undersampled_cvt_lr_k50,20.0,320000,0.0008335607412746941,9.796237990807911e-05,0.0006415580048150289,0.0010255634777343594,1333.6971860395106,1026.4928077040463,1640.9015643749751
undersampled_cvt_lr_k50,30.0,480000,0.000887460878603464,9.966943717219596e-05,0.0006921123713865823,0.0010828093858203458,1419.9374057655425,1107.3797942185317,1732.4950173125533
undersampled_t_lr_k100,5.0,80000,0.0006552125668507483,8.581251452012977e-05,0.00048702312896847354,0.000823402004733023,1048.3401069611973,779.2370063495576,1317.4432075728369
undersampled_t_lr_k100,10.0,160000,0.0007571454623275644,9.001081436800466e-05,0.0005807275079471549,0.000933563416707974,1211.4327397241032,929.1640127154478,1493.7014667327585
undersampled_t_lr_k100,20.0,320000,0.0008090092902848001,9.416092863797413e-05,0.0006244572614035246,0.0009935613191660755,1294.4148644556801,999.1316182456394,1589.6981106657208
undersampled_t_lr_k100,30.0,480000,0.0008217228448229915,9.61409286195216e-05,0.0006332900872884931,0.0010101556023574898,1314.7565517167864,1013.2641396615888,1616.2489637719837
undersampled_cvt_lr_k100,5.0,80000,0.0004598208465574164,6.504000652723058e-05,0.00033234477620979445,0.0005872969169050384,735.7133544918662,531.7516419356712,939.6750670480615
undersampled_cvt_lr_k100,10.0,160000,0.0006390305715458392,8.087066931362314e-05,0.0004805269722854893,0.000797534170806189,1022.4489144733426,768.8431556567829,1276.0546732899024
undersampled_cvt_lr_k100,20.0,320000,0.0007630773848579849,9.092370711082531e-05,0.000584870193579899,0.0009412845761360708,1220.923815772776,935.7923097278384,1506.0553218177133
undersampled_cvt_lr_k100,30.0,480000,0.0008208588939670147,9.422398557297287e-05,0.0006361832757641663,0.0010055345121698631,1313.3742303472236,1017.8932412226661,1608.855219471781
undersampled_t_lr_k200,5.0,80000,0.0004533618186949866,7.228045716865376e-05,0.0003116947258583353,0.0005950289115316379,725.3789099119786,498.71156137333645,952.0462584506206
undersampled_t_lr_k200,10.0,160000,0.00048144671729159256,7.849815808761412e-05,0.00032759315458713735,0.0006353002799960477,770.3147476665481,524.1490473394198,1016.4804479936763
undersampled_t_lr_k200,20.0,320000,0.000596510285469354,8.241338437248917e-05,0.00043498302025521906,0.0007580375506834889,954.4164567509663,695.9728324083505,1212.8600810935823
undersampled_t_lr_k200,30.0,480000,0.0006295927493534169,8.379820285662229e-05,0.00046535128978525577,0.0007938342089215779,1007.348398965467,744.5620636564092,1270.1347342745248
undersampled_cvt_lr_k200,5.0,80000,0.00023597463191059938,4.5644396129963316e-05,0.00014651325939979187,0.0003254360044214069,377.559411056959,234.421215039667,520.697607074251
undersampled_cvt_lr_k200,10.0,160000,0.0004065414986123153,5.750764105690507e-05,0.00029382859330492444,0.0005192544039197061,650.4663977797045,470.1257492878791,830.8070462715298
undersampled_cvt_lr_k200,20.0,320000,0.0005264534219497636,7.000819756809961e-05,0.0003892398760937238,0.0006636669678058034,842.3254751196218,622.7838017499581,1061.8671484892855
undersampled_cvt_lr_k200,30.0,480000,0.0005607056192756622,7.293092328932051e-05,0.00041776363626934063,0.0007036476022819838,897.1289908410596,668.421818030945,1125.836163651174
