model,score_version,bin,n,treated_n,control_n,score_min,score_max,predicted_uplift,treated_outcome_rate,control_outcome_rate,observed_uplift,observed_standard_error,ci_lower,ci_upper,calibration_error
undersampled_t_lr_k5,raw,1,40000,34366,5634,0.0010789345442349214,0.25744138557622903,0.0064304925971033254,0.025839492521678404,0.01597444089456869,0.009865051627109715,0.0018768413268222006,0.006186510221841833,0.013543593032377597,0.003434559030006389
undersampled_t_lr_k5,raw,2,40000,34022,5978,0.00047055571708505426,0.0010788988068998909,0.0006920339188202384,0.00185174298983011,0.00234192037470726,-0.00049017738487715,0.0006672076627448109,-0.001797880374066126,0.000817525604311826,-0.0011822113036973883
undersampled_t_lr_k5,raw,3,40000,33898,6102,0.0003212291764380861,0.0004705524867889031,0.00038316289741742373,0.0007670069030621276,0.0004916420845624386,0.000275364818499689,0.00032115508217289956,-0.00035408757601119556,0.0009048172130105735,-0.00010779807891773475
undersampled_t_lr_k5,raw,4,40000,33947,6053,0.0002552072094864327,0.0003212252633697172,0.00028524138763262136,0.0002945768403688102,0.00016520733520568312,0.00012936950516312707,0.00018964163521716356,-0.0002423212698317962,0.0005010602801580503,-0.0001558718824694943
undersampled_t_lr_k5,raw,5,40000,33798,6202,0.00020416593242595122,0.0002552065819314313,0.000229938336273469,0.0002662879460323096,0.0006449532408900354,-0.00037866529485772584,0.00033436628277943805,-0.0010340111667499596,0.0002766805770345079,-0.0006086036311311948
undersampled_t_lr_k5,raw,6,40000,33911,6089,0.0001678835554793264,0.00020416593242595122,0.00018125259481956659,8.846686915750052e-05,0.0,8.846686915750052e-05,5.1074111389173316e-05,-1.1636549707666141e-05,0.00018857028802266718,-9.278572566206607e-05
undersampled_t_lr_k5,raw,7,40000,33918,6082,0.00015587819754273795,0.00016788346628039073,0.00016133872811175494,0.00011793148180906893,0.0001644195988161789,-4.648811700710997e-05,0.0001746594061169559,-0.0003888142625574983,0.00029583802854327835,-0.0002078268451188649
undersampled_t_lr_k5,raw,8,40000,34021,5979,0.00014582607246083925,0.00015587806327705002,0.00015087679228700132,5.8787219658446256e-05,0.0,5.8787219658446256e-05,4.156761979131949e-05,-2.2683818055594273e-05,0.00014025825737248678,-9.208957262855507e-05
undersampled_t_lr_k5,raw,9,40000,34009,5991,0.0001356791874518635,0.00014582594393654206,0.0001408204285483099,5.8807962598135785e-05,0.0,5.8807962598135785e-05,4.158228640220459e-05,-2.2691821145014808e-05,0.00014030774634128638,-8.201246595017412e-05
undersampled_t_lr_k5,raw,10,40000,33955,6045,-0.07824249833593744,0.00013567912603732087,8.38764243377623e-05,0.001236931232513621,0.0008271298593879239,0.000409801373125697,0.0004160517644694862,-0.0004056451009388371,0.0012252478471902312,0.0003259249487879347
undersampled_t_lr_k5,calibrated,1,40000,34366,5634,0.0023418905170565388,0.05095764925672239,0.00959319137681274,0.025839492521678404,0.01597444089456869,0.009865051627109715,0.0018768413268222006,0.006186510221841833,0.013543593032377597,0.0002718602502969746
undersampled_t_lr_k5,calibrated,2,40000,34022,5978,-1.3405309346470789e-05,0.0023418905170565388,0.0007197379235886762,0.00185174298983011,0.00234192037470726,-0.00049017738487715,0.0006672076627448109,-0.001797880374066126,0.000817525604311826,-0.001209915308465826
undersampled_t_lr_k5,calibrated,3,40000,33898,6102,-1.3405309346470789e-05,-1.3405309346470789e-05,-1.340530934647079e-05,0.0007670069030621276,0.0004916420845624386,0.000275364818499689,0.00032115508217289956,-0.00035408757601119556,0.0009048172130105735,0.00028877012784615975
undersampled_t_lr_k5,calibrated,4,40000,33947,6053,-1.3405309346470789e-05,-1.3405309346470789e-05,-1.340530934647079e-05,0.0002945768403688102,0.00016520733520568312,0.00012936950516312707,0.00018964163521716356,-0.0002423212698317962,0.0005010602801580503,0.00014277481450959787
undersampled_t_lr_k5,calibrated,5,40000,33798,6202,-1.3405309346470789e-05,-1.3405309346470789e-05,-1.340530934647079e-05,0.0002662879460323096,0.0006449532408900354,-0.00037866529485772584,0.00033436628277943805,-0.0010340111667499596,0.0002766805770345079,-0.00036525998551125506
undersampled_t_lr_k5,calibrated,6,40000,33911,6089,-1.3405309346470789e-05,-1.3405309346470789e-05,-1.340530934647079e-05,8.846686915750052e-05,0.0,8.846686915750052e-05,5.1074111389173316e-05,-1.1636549707666141e-05,0.00018857028802266718,0.0001018721785039713
undersampled_t_lr_k5,calibrated,7,40000,33918,6082,-1.3405309346470789e-05,-1.3405309346470789e-05,-1.340530934647079e-05,0.00011793148180906893,0.0001644195988161789,-4.648811700710997e-05,0.0001746594061169559,-0.0003888142625574983,0.00029583802854327835,-3.308280766063918e-05
undersampled_t_lr_k5,calibrated,8,40000,34021,5979,-1.3405309346470789e-05,-1.3405309346470789e-05,-1.340530934647079e-05,5.8787219658446256e-05,0.0,5.8787219658446256e-05,4.156761979131949e-05,-2.2683818055594273e-05,0.00014025825737248678,7.219252900491705e-05
undersampled_t_lr_k5,calibrated,9,40000,34009,5991,-1.3405309346470789e-05,-1.3405309346470789e-05,-1.340530934647079e-05,5.8807962598135785e-05,0.0,5.8807962598135785e-05,4.158228640220459e-05,-2.2691821145014808e-05,0.00014030774634128638,7.221327194460657e-05
undersampled_t_lr_k5,calibrated,10,40000,33955,6045,-1.3405309346470789e-05,-1.3405309346470789e-05,-1.340530934647079e-05,0.001236931232513621,0.0008271298593879239,0.000409801373125697,0.0004160517644694862,-0.0004056451009388371,0.0012252478471902312,0.0004232066824721678
