policy,reference_policy,budget_pct,n_targeted,difference_rate,standard_error_rate,difference,ci_lower,ci_upper
undersampled_t_lr_k5,response_model,5.0,20000,-6.236594628255419e-06,6.734457901630422e-05,-2.4946378513021674,-55.291817621689404,50.30254191908507
undersampled_t_lr_k5,response_model,10.0,40000,9.900352152927505e-06,6.443489186066361e-05,3.960140861171002,-46.555886096682485,54.47616781902449
undersampled_t_lr_k5,response_model,20.0,80000,-5.5981059995902484e-05,5.606979512197377e-05,-22.392423998360993,-66.35033562220426,21.565487625482273
undersampled_t_lr_k5,response_model,30.0,120000,-4.866540976099073e-05,5.960437965231513e-05,-19.466163904396293,-66.19513888015216,27.26281107135957
