policy,reference_policy,budget_pct,n_targeted,difference_rate,standard_error_rate,difference,ci_lower,ci_upper
undersampled_t_lr_k5,response_model,5.0,10000,-0.00023570715106393535,0.00014663040896998984,-47.14143021278707,-104.61949433669885,10.336633911124709
undersampled_t_lr_k5,response_model,10.0,20000,-0.0002885113892792237,0.00012333931825073182,-57.702277855844734,-106.05040218567636,-9.354153526013118
undersampled_t_lr_k5,response_model,20.0,40000,-0.00029117818675013154,0.00010802987077298572,-58.23563735002631,-100.58256854393994,-15.888706156112672
undersampled_t_lr_k5,response_model,30.0,60000,-0.0003262041523298175,0.0001060783535384609,-65.2408304659635,-106.82278096090157,-23.65887997102544
