policy,reference_policy,budget_pct,n_targeted,difference_rate,standard_error_rate,difference,ci_lower,ci_upper
s_learner,response_model,5.0,10000,0.0008422811991222753,0.0005650734279944835,168.45623982445505,-53.04847367349995,389.96095332241003
s_learner,response_model,10.0,20000,0.0003314714085316683,0.00046195236053676056,66.29428170633366,-114.78771613872885,247.3762795513962
s_learner,response_model,20.0,40000,0.00014904545886806775,0.00027152939134380936,29.80909177361355,-76.62847378197607,136.24665732920317
s_learner,response_model,30.0,60000,4.964371678071799e-07,0.0002126164203824421,0.09928743356143598,-83.24481786072143,83.4433927278443
