policy,budget_pct,n_targeted,incremental_outcome_rate,standard_error_rate,ci_lower_rate,ci_upper_rate,incremental_outcome,ci_lower,ci_upper
response_model,5.0,10000,0.0010079873595302414,0.00025871144166384705,0.0005009222514806662,0.0015150524675798167,201.59747190604827,100.18445029613324,303.01049351596333
response_model,10.0,20000,0.0009789780111992585,0.0002841208492958221,0.0004221113793225149,0.001535844643076002,195.7956022398517,84.42227586450298,307.1689286152004
response_model,20.0,40000,0.0009959865678864695,0.00029165151848463807,0.00042436009562016124,0.0015676130401527778,199.1973135772939,84.87201912403225,313.52260803055555
response_model,30.0,60000,0.0008997437721170025,0.0002980647285220123,0.00031554763915214994,0.001483939905081855,179.94875442340052,63.10952783042999,296.787981016371
undersampled_t_lr_k5,5.0,10000,0.0008044537742162105,0.000235720237983946,0.000342450597340466,0.001266456951091955,160.8907548432421,68.4901194680932,253.291390218391
undersampled_t_lr_k5,10.0,20000,0.0008092132747412683,0.00024917262710248396,0.0003208438996871709,0.0012975826497953658,161.84265494825365,64.16877993743418,259.5165299590731
undersampled_t_lr_k5,20.0,40000,0.0008320160213894928,0.00026211126890720313,0.0003182873743892815,0.001345744668389704,166.40320427789857,63.6574748778563,269.1489336779408
undersampled_t_lr_k5,30.0,60000,0.0007196472821484943,0.0002751785236780493,0.0001803072864206153,0.0012589872778763732,143.92945642969886,36.06145728412306,251.79745557527465
